id,long,lat,Mode,fid,h3,Commune,CodeCom
node/21141275,-6.8448318100,34.0287383100,bus,21769,8839a864a1fffff,Hassan,5
node/444366969,-6.7849928100,34.0473091100,bus,6063,8839ab916bfffff,Tabriquet,9
node/1131054015,-6.7848103100,34.0474758100,bus,6063,8839ab916bfffff,Tabriquet,9
node/1311854956,-6.8642711100,33.9826360100,tram,21731,8839a865bdfffff,Agdal Riyad,1
node/1311857650,-6.8608962100,33.9861401100,tram,21737,8839a865b1fffff,Agdal Riyad,1
node/1311859342,-6.8492608100,33.9972128100,tram,21748,8839a86597fffff,Agdal Riyad,1
node/1311859666,-6.8439142100,33.9997104100,tram,21748,8839a86597fffff,Agdal Riyad,1
node/1311863524,-6.8266195100,34.0193332100,tram,5638,8839ab9a49fffff,Hassan,5
node/1385104795,-6.8162902100,34.0379406100,tram,21763,8839a864b1fffff,Bab Lamrissa,3
node/1385104799,-6.8154402100,34.0408635100,tram,21759,8839a864b9fffff,Bab Lamrissa,3
node/1385104813,-6.7944199100,34.0541451100,tram,21775,8839a86493fffff,Tabriquet,9
node/1385104814,-6.8009223100,34.0475870100,tram,21773,8839a86497fffff,Tabriquet,9
node/1385104815,-6.8114080100,34.0431551100,tram,21758,8839a864bbfffff,Tabriquet,9
node/1385104817,-6.8252548100,34.0249857100,tram,5638,8839ab9a49fffff,Hassan,5
node/1385104828,-6.8067974100,34.0454620100,tram,21758,8839a864bbfffff,Tabriquet,9
node/1385128920,-6.8126047100,34.0354648100,tram,21763,8839a864b1fffff,Tabriquet,9
node/1385128927,-6.8579424100,33.9892135100,tram,21733,8839a865b9fffff,Agdal Riyad,1
node/1385128949,-6.8522856100,33.9951970100,tram,21732,8839a865bbfffff,Agdal Riyad,1
node/1385128950,-6.8500026100,34.0187958100,tram,21747,8839a86599fffff,Hassan,5
node/1385128952,-6.7996531100,34.0346707100,tram,21762,8839a864b3fffff,Bettana,5
node/1385128955,-6.8430878100,34.0044765100,tram,21750,8839a86593fffff,Agdal Riyad,1
node/1385128965,-6.8591491100,34.0107721100,tram,21745,8839a8659dfffff,Hassan,5
node/1385128984,-6.8429430100,34.0206763100,tram,21767,8839a864a5fffff,Hassan,5
node/1385128993,-6.8546570100,34.0161444100,tram,21747,8839a86599fffff,Hassan,5
node/1385129014,-6.8314238100,34.0188651100,tram,5638,8839ab9a49fffff,Hassan,5
node/1385129016,-6.8066771100,34.0349746100,tram,21762,8839a864b3fffff,Bettana,5
node/1558969227,-7.0127349100,33.8878599100,bus,21395,8839a86f31fffff,Skhirate,5
node/1631787343,-6.7362188100,33.9906017100,bus,5621,8839ab9a81fffff,Hssaine,6
node/1653197100,-6.8314338100,34.0180330100,tram,5636,8839ab9a4dfffff,Hassan,5
node/1653197101,-6.8341586100,34.0236639100,tram,21766,8839a864a7fffff,Hassan,5
node/1653197102,-6.8393711100,34.0117427100,tram,21746,8839a8659bfffff,Agdal Riyad,1
node/1653197103,-6.8429610100,34.0090720100,tram,21750,8839a86593fffff,Agdal Riyad,1
node/1653197107,-6.8388914100,34.0218537100,tram,21766,8839a864a7fffff,Hassan,5
node/1653197109,-6.8361443100,34.0159983100,tram,5636,8839ab9a4dfffff,Hassan,5
node/1654142232,-6.8221635100,34.0253870100,tram,21761,8839a864b5fffff,Hassan,5
node/1654158466,-6.8193913100,34.0321416100,tram,21761,8839a864b5fffff,Bab Lamrissa,3
node/1700427465,-6.9289854100,33.9481383100,bus,21403,8839a86ee3fffff,Harhoura,3
node/1700427704,-6.9752169100,33.9138727100,bus,21591,8839a86c41fffff,Harhoura,3
node/1770217635,-6.9252418100,33.8997472100,bus,21609,8839a86c17fffff,Témara,7
node/1824603746,-6.8532329100,33.9851300100,bus,21737,8839a865b1fffff,Agdal Riyad,1
node/1824603809,-6.8504989100,33.9854626100,bus,21736,8839a865b3fffff,Agdal Riyad,1
node/1824603859,-6.8521994100,33.9849110100,taxi,21737,8839a865b1fffff,Agdal Riyad,1
node/1824603869,-6.8495870100,33.9833808100,taxi,21736,8839a865b3fffff,Souissi,6
node/1824603870,-6.8500376100,33.9854804100,bus,21736,8839a865b3fffff,Agdal Riyad,1
node/1824603937,-6.8537551100,33.9873930100,taxi,21737,8839a865b1fffff,Agdal Riyad,1
node/1867480200,-7.0392855100,33.8545497100,train,21714,8839a86897fffff,Skhirate,5
node/2562113443,-6.8212216100,33.9738392100,bus,5649,8839ab9a2dfffff,El Youssoufia,3
node/2572775481,-6.9307933100,33.9174789100,train,21419,8839a86ea5fffff,Témara,7
node/2671776678,-6.7677545100,34.0780361100,bus,5974,8839ab9337fffff,Layayda,7
node/2671777021,-6.7676851100,34.0778708100,bus,5974,8839ab9337fffff,Layayda,7
node/2817076543,-6.7677144100,34.0780634100,bus,5974,8839ab9337fffff,Layayda,7
node/2819226556,-6.8367276100,34.0159847100,train,5636,8839ab9a4dfffff,Hassan,5
node/2972378141,-6.8221365100,34.0254174100,tram,21761,8839a864b5fffff,Hassan,5
node/2972378149,-6.8114264100,34.0431871100,tram,21758,8839a864bbfffff,Tabriquet,9
node/2972388834,-6.8009612100,34.0476004100,tram,21773,8839a86497fffff,Tabriquet,9
node/2972388882,-6.8154726100,34.0408912100,tram,21759,8839a864b9fffff,Bab Lamrissa,3
node/2972388898,-6.8163239100,34.0379448100,tram,21763,8839a864b1fffff,Bab Lamrissa,3
node/2972388903,-6.8253480100,34.0253468100,tram,5638,8839ab9a49fffff,Hassan,5
node/2995242953,-6.9001818100,33.9295703100,bus,21412,8839a86eb5fffff,Témara,7
node/3150442158,-6.9080962100,33.9246501100,bus,21546,8839a86cc9fffff,Témara,7
node/3150442159,-6.8648031100,33.9538409100,bus,5550,8839ab9b45fffff,Agdal Riyad,1
node/3150442160,-6.8740244100,33.9601037100,bus,5546,8839ab9b4dfffff,Agdal Riyad,1
node/3150442161,-6.8697816100,33.9487291100,bus,5534,8839ab9b6bfffff,Agdal Riyad,1
node/3150442162,-6.8470794100,33.9965465100,bus,21748,8839a86597fffff,Agdal Riyad,1
node/3150442163,-6.8911826100,33.9294343100,bus,21411,8839a86eb7fffff,Témara,7
node/3150442164,-6.8412568100,34.0229869100,bus,21766,8839a864a7fffff,Hassan,5
node/3150442165,-6.8730173100,33.9605728100,bus,5546,8839ab9b4dfffff,Agdal Riyad,1
node/3150442167,-6.9212347100,33.8910199100,bus,21531,8839a86cedfffff,Témara,7
node/3150442168,-6.9217242100,33.8817197100,bus,21535,8839a86ce5fffff,Témara,7
node/3150442169,-6.9218364100,33.8866698100,bus,21531,8839a86cedfffff,Témara,7
node/3150442170,-6.8967624100,33.9270349100,bus,21411,8839a86eb7fffff,Témara,7
node/3150442171,-6.8386874100,34.0149252100,bus,21746,8839a8659bfffff,Agdal Riyad,1
node/3150442172,-6.8841427100,33.9359717100,bus,21413,8839a86eb3fffff,Témara,7
node/3150442173,-6.9060661100,33.9273766100,bus,21412,8839a86eb5fffff,Témara,7
node/3150442174,-6.9119885100,33.9161153100,bus,21544,8839a86ccdfffff,Témara,7
node/3150442175,-6.8701009100,33.9661077100,bus,5546,8839ab9b4dfffff,Agdal Riyad,1
node/3150442176,-6.8563964100,33.9821876100,bus,21737,8839a865b1fffff,Agdal Riyad,1
node/3150442177,-6.8407885100,34.0109017100,bus,21746,8839a8659bfffff,Agdal Riyad,1
node/3150442178,-6.8514092100,33.9886039100,bus,21732,8839a865bbfffff,Agdal Riyad,1
