id,long,lat,Mode,fid,h3,Commune,CodeCom,CodeProv,Province
node/21141275,-6.84483181,34.02873831,bus,21769,8839a864a1fffff,Hassan,5,421,Rabat
node/444366969,-6.78499281,34.04730911,bus,6063,8839ab916bfffff,Tabriquet,9,441,Salé
node/1131054015,-6.78481031,34.04747581,bus,6063,8839ab916bfffff,Tabriquet,9,441,Salé
node/1311854956,-6.86427111,33.98263601,tram,21731,8839a865bdfffff,Agdal Riyad,1,421,Rabat
node/1311857650,-6.86089621,33.98614011,tram,21737,8839a865b1fffff,Agdal Riyad,1,421,Rabat
node/1311859342,-6.84926081,33.99721281,tram,21748,8839a86597fffff,Agdal Riyad,1,421,Rabat
node/1311859666,-6.84391421,33.99971041,tram,21748,8839a86597fffff,Agdal Riyad,1,421,Rabat
node/1311863524,-6.82661951,34.01933321,tram,5638,8839ab9a49fffff,Hassan,5,421,Rabat
node/1385104795,-6.81629021,34.03794061,tram,21763,8839a864b1fffff,Bab Lamrissa,3,441,Salé
node/1385104799,-6.81544021,34.04086351,tram,21759,8839a864b9fffff,Bab Lamrissa,3,441,Salé
node/1385104813,-6.79441991,34.05414511,tram,21775,8839a86493fffff,Tabriquet,9,441,Salé
node/1385104814,-6.80092231,34.04758701,tram,21773,8839a86497fffff,Tabriquet,9,441,Salé
node/1385104815,-6.81140801,34.04315511,tram,21758,8839a864bbfffff,Tabriquet,9,441,Salé
node/1385104817,-6.82525481,34.02498571,tram,5638,8839ab9a49fffff,Hassan,5,421,Rabat
node/1385104828,-6.80679741,34.04546201,tram,21758,8839a864bbfffff,Tabriquet,9,441,Salé
node/1385128920,-6.81260471,34.03546481,tram,21763,8839a864b1fffff,Tabriquet,9,441,Salé
node/1385128927,-6.85794241,33.98921351,tram,21733,8839a865b9fffff,Agdal Riyad,1,421,Rabat
node/1385128949,-6.85228561,33.99519701,tram,21732,8839a865bbfffff,Agdal Riyad,1,421,Rabat
node/1385128950,-6.85000261,34.01879581,tram,21747,8839a86599fffff,Hassan,5,421,Rabat
node/1385128952,-6.79965311,34.03467071,tram,21762,8839a864b3fffff,Bettana,5,441,Salé
